f,s,t,fou
262,488,687,687
387,398,399,399
521,487,522,522
661,598,668,668
367,1092,1137,1137
598,516,665,665
654,496,1078,1078
684,641,1054,1054
244,245,246,246
442,494,495,495
595,596,672,672
794,1057,1224,1224
950,949,951,951
603,604,616,616
175,29,1021,1021
600,602,603,603
1081,1044,1082,1082
160,1076,1316,1316
1039,1040,1041,1041
259,258,262,262
440,441,442,442
513,507,514,514
253,252,258,258
305,418,426,426
353,351,410,410
537,535,1093,1093
668,1044,1081,1081
393,400,407,407
708,661,743,743
687,688,896,896
617,619,620,620
620,630,774,774
436,438,1110,1110
711,1060,1061,1061
672,784,822,822
892,893,897,897
687,896,919,919
774,785,900,900
549,550,551,551
617,620,1121,1121
63,62,151,151
499,475,500,500
203,204,1075,1075
240,242,724,724
673,794,795,795
341,489,1157,1157
680,740,871,871
462,590,1111,1111
666,514,883,883
702,701,728,728
65,64,1087,1087
694,693,901,901
201,202,203,203
208,210,211,211
722,825,826,826
207,206,208,208
517,661,708,708
590,670,722,722
1033,790,1160,1160
208,209,210,210
438,437,439,439
683,772,869,869
176,67,1094,1094
212,210,213,213
204,206,207,207
411,501,502,502
30,31,155,155
68,176,1091,1091
208,206,209,209
488,258,1143,1143
211,210,212,212
212,213,214,214
295,1169,1252,1252
214,213,215,215
506,472,507,507
708,743,991,991
353,410,411,411
927,926,928,928
204,205,206,206
661,668,1081,1081
203,202,204,204
286,288,1162,1162
67,66,1094,1094
296,263,1102,1102
198,200,201,201
621,622,777,777
518,519,595,595
610,609,1052,1052
35,186,1096,1096
69,68,1091,1091
354,1080,1131,1131
413,477,478,478
204,202,205,205
625,491,707,707
217,216,218,218
34,35,1096,1096
850,674,851,851
164,34,1096,1096
207,208,1097,1097
33,34,164,164
214,215,216,216
40,39,185,185
437,203,1075,1075
367,368,370,370
700,624,870,870
66,65,159,159
75,76,160,160
35,36,186,186
691,625,1085,1085
70,69,192,192
495,494,680,680
217,218,219,219
68,67,176,176
219,218,220,220
220,218,221,221
747,659,748,748
693,691,1126,1126
220,221,222,222
599,510,667,667
208,211,1097,1097
467,466,512,512
1157,904,1166,1166
327,331,979,979
281,280,283,283
708,1002,1095,1095
214,216,217,217
66,159,1094,1094
710,435,1065,1065
42,41,163,163
71,72,191,191
73,74,177,177
242,243,244,244
440,439,441,441
45,44,156,156
78,79,152,152
517,708,1095,1095
680,871,1107,1107
442,441,494,494
163,41,1098,1098
641,643,1054,1054
620,957,1121,1121
559,424,560,560
1045,350,1130,1130
376,1045,1128,1128
687,488,688,688
906,693,1126,1126
871,740,872,872
47,46,182,182
613,610,1052,1052
417,727,741,741
211,873,1097,1097
80,81,180,180
211,212,716,716
284,283,285,285
192,69,1091,1091
45,156,1099,1099
614,613,685,685
470,517,1095,1095
49,48,148,148
386,390,393,393
776,1055,1151,1151
182,46,1099,1099
238,237,239,239
696,719,776,776
152,79,1101,1101
79,80,1101,1101
46,45,1099,1099
552,423,1074,1074
708,991,1002,1002
81,82,1105,1105
480,419,701,701
16,17,142,142
82,83,144,144
115,116,143,143
561,560,562,562
500,548,549,549
501,902,1114,1114
590,722,1111,1111
40,185,1098,1098
327,979,1090,1090
472,396,1128,1128
502,501,1114,1114
317,314,1046,1046
518,409,519,519
48,47,1103,1103
869,772,877,877
211,716,873,873
214,217,1108,1108
361,362,786,786
565,564,609,609
80,180,1101,1101
41,40,1098,1098
180,81,1105,1105
411,502,695,695
47,182,1103,1103
495,680,1107,1107
1014,359,1131,1131
529,530,531,531
212,214,1108,1108
438,556,1110,1110
683,869,1124,1124
399,520,558,558
706,738,1272,1272
765,849,939,939
265,263,296,296
140,53,1064,1064
902,903,969,969
201,436,1119,1119
217,219,484,484
371,387,1109,1109
441,439,443,443
811,734,1218,1218
532,534,940,940
148,48,1103,1103
625,707,1085,1085
672,596,784,784
301,703,1162,1162
369,366,1051,1051
443,439,1115,1115
370,373,374,374
322,324,1090,1090
82,144,1105,1105
240,724,1138,1138
324,327,1090,1090
595,519,596,596
323,320,1063,1063
432,528,529,529
478,615,1135,1135
1020,710,1065,1065
258,252,1143,1143
1049,315,1189,1189
359,356,1131,1131
501,633,902,902
422,424,559,559
756,597,758,758
355,356,357,357
716,212,1108,1108
437,1075,1115,1115
536,627,696,696
788,552,1074,1074
744,681,745,745
563,562,564,564
852,851,853,853
446,445,466,466
531,543,544,544
474,457,475,475
680,681,740,740
439,437,1115,1115
612,610,613,613
450,454,1172,1172
223,222,224,224
690,616,920,920
757,859,1196,1196
410,351,1113,1113
444,394,445,445
396,376,1128,1128
588,461,591,591
1051,430,1118,1118
796,635,797,797
364,363,365,365
217,484,1108,1108
413,478,1135,1135
616,617,1121,1121
224,222,225,225
228,229,230,230
387,399,1109,1109
901,693,906,906
680,494,681,681
478,479,486,486
201,200,202,202
351,349,1113,1113
224,225,226,226
228,226,229,229
407,497,498,498
227,226,228,228
501,410,633,633
240,241,242,242
389,1070,1129,1129
319,321,1116,1116
722,670,825,825
1085,707,1153,1153
789,962,1225,1225
810,675,821,821
586,585,761,761
988,717,1199,1199
878,706,1122,1122
486,487,521,521
366,365,1051,1051
740,681,744,744
168,908,909,909
634,472,1128,1128
767,844,845,845
519,409,1129,1129
494,441,1117,1117
220,222,223,223
233,234,235,235
704,488,1143,1143
399,558,1109,1109
224,226,227,227
826,825,828,828
1020,229,1177,1177
409,389,1129,1129
441,443,1117,1117
683,771,772,772
197,198,1119,1119
920,616,1121,1121
484,219,485,485
239,621,629,629
15,16,1104,1104
114,115,1106,1106
745,681,1117,1117
484,485,683,683
420,323,1063,1063
724,242,1066,1066
380,335,391,391
893,197,1119,1119
760,864,865,865
559,560,561,561
785,630,1184,1184
681,494,1117,1117
368,366,369,369
233,235,433,433
247,253,557,557
247,252,253,253
691,1085,1126,1126
969,903,970,970
216,215,434,434
779,317,1046,1046
620,774,957,957
468,515,592,592
596,519,632,632
718,241,1125,1125
507,472,634,634
607,591,673,673
482,483,587,587
1045,1130,1140,1140
321,422,1116,1116
1017,175,1021,1021
603,616,690,690
909,908,910,910
412,413,1135,1135
352,351,353,353
16,142,1104,1104
115,143,1106,1106
902,633,903,903
205,202,1079,1079
411,695,1080,1080
523,522,524,524
648,649,735,735
716,1108,1124,1124
754,702,1029,1029
683,485,771,771
903,633,904,904
254,251,257,257
350,351,352,352
478,486,615,615
202,200,1079,1079
230,231,233,233
685,875,918,918
632,1129,1160,1160
198,201,1119,1119
51,50,178,178
236,234,237,237
243,241,718,718
462,589,590,590
481,473,505,505
405,406,482,482
358,360,361,361
456,455,473,473
422,559,1116,1116
542,540,585,585
353,411,1080,1080
1108,484,1124,1124
924,925,926,926
305,303,418,418
703,986,1162,1162
232,1134,1211,1211
632,519,1129,1129
1145,723,1189,1189
1129,1070,1160,1160
565,609,610,610
484,683,1124,1124
641,642,643,643
561,562,563,563
690,920,921,921
576,574,578,578
